Gen	Col	A	B	NumActs1	NumActs2	WorkAlloc1	WorkAlloc2	Idle	Fitness	Mean_F	Mean_F_franjo
1	93	0.5	0.5	4075	4049	40.2353	43.0784		0	2082.24	0.0582202	0.52911
1	94	0.5	0.5	4180	4002	44.0588	39.098		0	2075.46	0.0715322	0.535766
1	95	0.5	0.5	4073	4028	39.7451	43.8235		0	2084.98	0.103419	0.55171
1	96	0.5	0.5	4010	4104	40.6275	42.6275		0	2079.81	0.0770921	0.538546
1	97	0.5	0.5	4005	4164	41.4902	41.6275		0	2078.99	0.0486069	0.524303
1	98	0.5	0.5	4079	4060	41.3725	41.9608		0	2082.94	0.0302895	0.515145
1	99	0.5	0.5	3999	4111	41.4314	42.1765		0	2090.85	0.0565138	0.528257
2	0	0.5	0.5	4332	3818	44.4118	38.9608		0	2079.56	0.0697565	0.534878
2	1	0.5	0.5	4424	3749	45.902	37.0784		0	2062.96	0.0623128	0.531156
2	2	0.5	0.5	3946	4158	41.3922	41.4118		0	2069	0.0525026	0.526251
2	3	0.5	0.5	4270	3948	43.1765	40.3725		0	2083.92	0.0858584	0.542929
2	4	0.5	0.5	4036	4135	41.098	42.2549		0	2084.84	0.0543565	0.527178
2	5	0.5	0.5	4078	4117	42.6863	40.9216		0	2089.49	0.049331	0.524666
2	6	0.5	0.5	4099	4011	40.6078	41.9804		0	2062.19	0.039236	0.519618
2	7	0.5	0.5	4289	3861	42.451	40.6078		0	2079.65	0.0561743	0.528087
2	8	0.5	0.5	4214	3965	43.8039	39.1569		0	2070.88	0.0415211	0.520761
2	9	0.5	0.5	4061	4094	39.902	42.7451		0	2065.12	0.0577102	0.528855
2	10	0.5	0.5	3917	4218	40.6667	42.7059		0	2084.14	0.0846777	0.542339
2	11	0.5	0.5	4213	4020	41.9608	41.9608		0	2092.5	-0.011149	0.494426
2	12	0.5	0.5	4219	3976	43.2549	40.0196		0	2077.94	0.0474426	0.523721
2	13	0.5	0.5	4176	3974	42.8235	40.451		0	2079.02	-0.0157162	0.492142
2	14	0.5	0.5	4059	4066	40.6471	42.1373		0	2071.18	0.0629198	0.53146
2	15	0.5	0.5	3941	4205	40.1569	43.2549		0	2083.95	0.0633485	0.531674
